addressID~addressLine1~addressLine2~addressLine3~addressLine4~city~CountrySubdivisionCodeId~postalCode~country~countrySubdivision~DocumentKey~LastUpdatedBy
'1'~'10 S. Riverside Plaza          1'~'Chicago IL 60606 USA          1'~'xxxxx3'~''~'test'~'0'~''~'1'~''~~
'2784'~'10 S. Riverside Plaza       2784'~'Chicago IL 60606 USA       2784'~~~'unknown'~~~'3'~~~
'2785'~'10 S. Riverside Plaza       2785'~'Chicago IL 60606 USA       2785'~~~'unknown'~~~'7'~~~
'2786'~'10 S. Riverside Plaza       2786'~'Chicago IL 60606 USA       2786'~~~'unknown'~~~'10'~~~
'2787'~'10 S. Riverside Plaza       2787'~'Chicago IL 60606 USA       2787'~~~'unknown'~~~'10'~~~
'2788'~'10 S. Riverside Plaza       2788'~'Chicago IL 60606 USA       2788'~~~'unknown'~~~'10'~~~
'2789'~'10 S. Riverside Plaza       2789'~'Chicago IL 60606 USA       2789'~~~'unknown'~~~'10'~~~
'2790'~'10 S. Riverside Plaza       2790'~'Chicago IL 60606 USA       2790'~~~'Bucharest'~~~'10'~~~
'2791'~'10 S. Riverside Plaza       2791'~'Chicago IL 60606 USA       2791'~~~'unknown'~~~'10'~~~
'2792'~'10 S. Riverside Plaza       2792'~'Chicago IL 60606 USA       2792'~~~'unknown'~~~'10'~~~
'2793'~'10 S. Riverside Plaza       2793'~'Chicago IL 60606 USA       2793'~~~'unknown'~~~'10'~~~
'2794'~'10 S. Riverside Plaza       2794'~'Chicago IL 60606 USA       2794'~~~'unknown'~~~'10'~~~
'2795'~'10 S. Riverside Plaza       2795'~'Chicago IL 60606 USA       2795'~~~'unknown'~~~'10'~~~
'2796'~'10 S. Riverside Plaza       2796'~'Chicago IL 60606 USA       2796'~~~'unknown'~~~'10'~~~
'2797'~'10 S. Riverside Plaza       2797'~'Chicago IL 60606 USA       2797'~~~'unknown'~~~'10'~~~
'2798'~'10 S. Riverside Plaza       2798'~'Chicago IL 60606 USA       2798'~~~'unknown'~~~'10'~~~
'2799'~'10 S. Riverside Plaza       2799'~'Chicago IL 60606 USA       2799'~~~'unknown'~~~'10'~~~
'2800'~'10 S. Riverside Plaza       2800'~'Chicago IL 60606 USA       2800'~~~'unknown'~~~'11'~~~
'2801'~'10 S. Riverside Plaza       2801'~'Chicago IL 60606 USA       2801'~~~'unknown'~~~'11'~~~
'2802'~'10 S. Riverside Plaza       2802'~'Chicago IL 60606 USA       2802'~~~'unknown'~~~'11'~~~
'2803'~'10 S. Riverside Plaza       2803'~'Chicago IL 60606 USA       2803'~~~'unknown'~~~'11'~~~
'2804'~'10 S. Riverside Plaza       2804'~'Chicago IL 60606 USA       2804'~~~'unknown'~~~'11'~~~
'2805'~'10 S. Riverside Plaza       2805'~'Chicago IL 60606 USA       2805'~~~'unknown'~~~'11'~~~
'2806'~'10 S. Riverside Plaza       2806'~'Chicago IL 60606 USA       2806'~~~'unknown'~~~'11'~~~
'2807'~'10 S. Riverside Plaza       2807'~'Chicago IL 60606 USA       2807'~~~'unknown'~~~'11'~~~
'2808'~'10 S. Riverside Plaza       2808'~'Chicago IL 60606 USA       2808'~~~'unknown'~~~'11'~~~
'2809'~'10 S. Riverside Plaza       2809'~'Chicago IL 60606 USA       2809'~~~'unknown'~~~'11'~~~
'2810'~'10 S. Riverside Plaza       2810'~'Chicago IL 60606 USA       2810'~~~'unknown'~~~'11'~~~
'2811'~'10 S. Riverside Plaza       2811'~'Chicago IL 60606 USA       2811'~~~'unknown'~~~'11'~~~
'2812'~'10 S. Riverside Plaza       2812'~'Chicago IL 60606 USA       2812'~~~'unknown'~~~'11'~~~
'2813'~'10 S. Riverside Plaza       2813'~'Chicago IL 60606 USA       2813'~~~'unknown'~~~'12'~~~
'2814'~'10 S. Riverside Plaza       2814'~'Chicago IL 60606 USA       2814'~~~'unknown'~~~'12'~~~
'2815'~'10 S. Riverside Plaza       2815'~'Chicago IL 60606 USA       2815'~~~'unknown'~~~'12'~~~
'2816'~'10 S. Riverside Plaza       2816'~'Chicago IL 60606 USA       2816'~~~'unknown'~~~'12'~~~
'2817'~'10 S. Riverside Plaza       2817'~'Chicago IL 60606 USA       2817'~~~'unknown'~~~'35'~~~
'2818'~'10 S. Riverside Plaza       2818'~'Chicago IL 60606 USA       2818'~~~'unknown'~~~'35'~~~
'2819'~'10 S. Riverside Plaza       2819'~'Chicago IL 60606 USA       2819'~~~'unknown'~~~'35'~~~
'2820'~'10 S. Riverside Plaza       2820'~'Chicago IL 60606 USA       2820'~~~'unknown'~~~'35'~~~
'2821'~'10 S. Riverside Plaza       2821'~'Chicago IL 60606 USA       2821'~~~'unknown'~~~'35'~~~
'2822'~'10 S. Riverside Plaza       2822'~'Chicago IL 60606 USA       2822'~~~'unknown'~~~'35'~~~
'2823'~'10 S. Riverside Plaza       2823'~'Chicago IL 60606 USA       2823'~~~'unknown'~~~'17'~~~
'2824'~'10 S. Riverside Plaza       2824'~'Chicago IL 60606 USA       2824'~~~'unknown'~~~'17'~~~
'2825'~'10 S. Riverside Plaza       2825'~'Chicago IL 60606 USA       2825'~~~'unknown'~~~'17'~~~
'2826'~'10 S. Riverside Plaza       2826'~'Chicago IL 60606 USA       2826'~~~'unknown'~~~'17'~~~
'2827'~'10 S. Riverside Plaza       2827'~'Chicago IL 60606 USA       2827'~~~'unknown'~~~'17'~~~
'2828'~'10 S. Riverside Plaza       2828'~'Chicago IL 60606 USA       2828'~~~'unknown'~~~'17'~~~
'2829'~'10 S. Riverside Plaza       2829'~'Chicago IL 60606 USA       2829'~~~'unknown'~~~'17'~~~
'2830'~'10 S. Riverside Plaza       2830'~'Chicago IL 60606 USA       2830'~~~'Tretten'~~'2635'~'17'~~~
'2831'~'10 S. Riverside Plaza       2831'~'Chicago IL 60606 USA       2831'~''~''~'unknown'~'0'~''~'43'~~'D4650E84-15C8-49C5-BAA4-A84B453823FA'~'4AEB6BD7-3B7D-4C04-BAC4-EB48F6190646'
'2832'~'10 S. Riverside Plaza       2832'~'Chicago IL 60606 USA       2832'~~~'unknown'~~~'43'~~~
'2833'~'10 S. Riverside Plaza       2833'~'Chicago IL 60606 USA       2833'~~~'unknown'~~~'43'~~~
'2834'~'10 S. Riverside Plaza       2834'~'Chicago IL 60606 USA       2834'~~~'unknown'~~~'43'~~~
'2835'~'10 S. Riverside Plaza       2835'~'Chicago IL 60606 USA       2835'~~~'unknown'~~~'43'~~~
'2836'~'10 S. Riverside Plaza       2836'~'Chicago IL 60606 USA       2836'~~~'unknown'~~~'43'~~~
'2837'~'10 S. Riverside Plaza       2837'~'Chicago IL 60606 USA       2837'~~~'unknown'~~~'15'~~~
'2838'~'10 S. Riverside Plaza       2838'~'Chicago IL 60606 USA       2838'~~~'unknown'~~~'27'~~~
'2839'~'10 S. Riverside Plaza       2839'~'Chicago IL 60606 USA       2839'~~~'unknown'~~~'27'~~~
'2840'~'10 S. Riverside Plaza       2840'~'Chicago IL 60606 USA       2840'~~~'Nouacer'~'790'~~'28'~~~
'2841'~'10 S. Riverside Plaza       2841'~'Chicago IL 60606 USA       2841'~~~'1'~~~'28'~~~
'2842'~'10 S. Riverside Plaza       2842'~'Chicago IL 60606 USA       2842'~~~'Majcichov'~~'91922'~'42'~~~
'2843'~'10 S. Riverside Plaza       2843'~'Chicago IL 60606 USA       2843'~~~'Belgrade'~~'11070'~'41'~~~
'2844'~'10 S. Riverside Plaza       2844'~'Chicago IL 60606 USA       2844'~~~'unknown'~~~'41'~~~
'2845'~'10 S. Riverside Plaza       2845'~'Chicago IL 60606 USA       2845'~~~'unknown'~~~'100'~~~
'2846'~'10 S. Riverside Plaza       2846'~'Chicago IL 60606 USA       2846'~~~'unknown'~~~'115'~~~
'2847'~'10 S. Riverside Plaza       2847'~'Chicago IL 60606 USA       2847'~~~'unknown'~~~'115'~~~
'2848'~'10 S. Riverside Plaza       2848'~'Chicago IL 60606 USA       2848'~~~'unknown'~~~'115'~~~
'2849'~'10 S. Riverside Plaza       2849'~'Chicago IL 60606 USA       2849'~~~'unknown'~~~'115'~~~
'2850'~'10 S. Riverside Plaza       2850'~'Chicago IL 60606 USA       2850'~~~'Bursa'~'2325'~~'115'~~~
'2851'~'10 S. Riverside Plaza       2851'~'Chicago IL 60606 USA       2851'~~~'unknown'~~~'115'~~~
'2852'~'10 S. Riverside Plaza       2852'~'Chicago IL 60606 USA       2852'~~~'Rosemont'~~~'76'~~~
'2853'~'10 S. Riverside Plaza       2853'~'Chicago IL 60606 USA       2853'~~~'Kansas City'~'17'~~'76'~~~
'2854'~'10 S. Riverside Plaza       2854'~'Chicago IL 60606 USA       2854'~~~'Aurora'~'15'~'60505'~'76'~~~
'2855'~'10 S. Riverside Plaza       2855'~'Chicago IL 60606 USA       2855'~~~'Tampa'~~~'76'~~~
'2856'~'10 S. Riverside Plaza       2856'~'Chicago IL 60606 USA       2856'~~~'Savannah'~'11'~'31405'~'76'~~~
'2857'~'10 S. Riverside Plaza       2857'~'Chicago IL 60606 USA       2857'~~~'Chicago'~~~'76'~~~
'2858'~'10 S. Riverside Plaza       2858'~'Chicago IL 60606 USA       2858'~~~'Chicago'~'15'~~'76'~~~
'2859'~'10 S. Riverside Plaza       2859'~'Chicago IL 60606 USA       2859'~~~'St Marys'~~~'72'~~~
'2860'~'10 S. Riverside Plaza       2860'~'Chicago IL 60606 USA       2860'~~~'Denver'~'6'~'80216'~'76'~~~
'2861'~'10 S. Riverside Plaza       2861'~'Chicago IL 60606 USA       2861'~~~'Pleasant Prairie'~~~'76'~~~
'2862'~'10 S. Riverside Plaza       2862'~'Chicago IL 60606 USA       2862'~~~'unknown'~~~'76'~~~
'2863'~'10 S. Riverside Plaza       2863'~'Chicago IL 60606 USA       2863'~~~'Sparks'~'21'~~'76'~~~
'2864'~'10 S. Riverside Plaza       2864'~'Chicago IL 60606 USA       2864'~~~'Alsip'~'15'~'60803'~'76'~~~
'2865'~'10 S. Riverside Plaza       2865'~'Chicago IL 60606 USA       2865'~~~'Battle Creek'~'23'~'49017'~'76'~~~
'2866'~'10 S. Riverside Plaza       2866'~'Chicago IL 60606 USA       2866'~~~'Stockton'~'5'~'95205'~'76'~~~
'2867'~'10 S. Riverside Plaza       2867'~'Chicago IL 60606 USA       2867'~~~'Sunnyside'~~~'76'~~~
'2868'~'10 S. Riverside Plaza       2868'~'Chicago IL 60606 USA       2868'~~~'Denver'~~~'76'~~~
'2869'~'10 S. Riverside Plaza       2869'~'Chicago IL 60606 USA       2869'~~~'Oklahoma City'~~~'76'~~~
'2870'~'10 S. Riverside Plaza       2870'~'Chicago IL 60606 USA       2870'~~~'Elk Grove Village'~~~'76'~~~
'2871'~'10 S. Riverside Plaza       2871'~'Chicago IL 60606 USA       2871'~~~'unknown'~~~'76'~~~
'2872'~'10 S. Riverside Plaza       2872'~'Chicago IL 60606 USA       2872'~~~'Redondo Beach'~~~'76'~~~
'2873'~'10 S. Riverside Plaza       2873'~'Chicago IL 60606 USA       2873'~~~'Staines'~~'TW18 4JD '~'19'~~~
'2874'~'10 S. Riverside Plaza       2874'~'Chicago IL 60606 USA       2874'~~~'Zurich'~~'8001'~'32'~~~
'2875'~'10 S. Riverside Plaza       2875'~'Chicago IL 60606 USA       2875'~~~'Downers Grove'~~~'76'~~~
'2876'~'10 S. Riverside Plaza       2876'~'Chicago IL 60606 USA       2876'~~~'Richmond'~~~'76'~~~
'2877'~'10 S. Riverside Plaza       2877'~'Chicago IL 60606 USA       2877'~~~'Gmünd / Ktn.'~~~'33'~~~
'2878'~'10 S. Riverside Plaza       2878'~'Chicago IL 60606 USA       2878'~~~'Give'~~'7323'~'13'~~~
'2879'~'10 S. Riverside Plaza       2879'~'Chicago IL 60606 USA       2879'~~~'Santa Paula'~~~'76'~~~
'2880'~'10 S. Riverside Plaza       2880'~'Chicago IL 60606 USA       2880'~~~'unknown'~~~'115'~~~
'2881'~'10 S. Riverside Plaza       2881'~'Chicago IL 60606 USA       2881'~~~'Lakeille'~~~'76'~~~
'2882'~'10 S. Riverside Plaza       2882'~'Chicago IL 60606 USA       2882'~~~'Auckland'~~~'122'~~~
'2883'~'10 S. Riverside Plaza       2883'~'Chicago IL 60606 USA       2883'~~~'s.Tomylivka'~'2450'~'9172'~'12'~~~
'2884'~'10 S. Riverside Plaza       2884'~'Chicago IL 60606 USA       2884'~''~''~'Karlshamns'~'0'~'37482'~'18'~~'11660660-7CBF-4401-BA53-E8070DB5E968'~'29E494AF-E7BB-4EC0-BB8D-413A6C25123B'
'2885'~'10 S. Riverside Plaza       2885'~'Chicago IL 60606 USA       2885'~~~'Budapest'~~'1044'~'38'~~~
'2886'~'10 S. Riverside Plaza       2886'~'Chicago IL 60606 USA       2886'~~~'Apia'~~~'123'~~~
'2887'~'10 S. Riverside Plaza       2887'~'Chicago IL 60606 USA       2887'~~~'CONDAT SUR TRINCOU'~'1440'~'24530'~'22'~~~
'2888'~'10 S. Riverside Plaza       2888'~'Chicago IL 60606 USA       2888'~~~'Hamburg'~'1254'~'20354'~'37'~~~
'2889'~'10 S. Riverside Plaza       2889'~'Chicago IL 60606 USA       2889'~~~'Olot'~'1374'~'17800'~'31'~~~
'2890'~'10 S. Riverside Plaza       2890'~'Chicago IL 60606 USA       2890'~~~'Oosterwolde'~~~'29'~~~
'2891'~'10 S. Riverside Plaza       2891'~'Chicago IL 60606 USA       2891'~~~'Chesterfield'~~~'19'~~~
'2892'~'10 S. Riverside Plaza       2892'~'Chicago IL 60606 USA       2892'~~~'Vetrni'~~~'36'~~~
'2893'~'10 S. Riverside Plaza       2893'~'Chicago IL 60606 USA       2893'~~~'Milan'~~'20138'~'25'~~~
'2894'~'10 S. Riverside Plaza       2894'~'Chicago IL 60606 USA       2894'~~~'Pieve Emanuele (MI)'~~'20090'~'25'~~~
'2895'~'10 S. Riverside Plaza       2895'~'Chicago IL 60606 USA       2895'~~~'S.Vittore Di Cesena (FC)'~~'47020'~'25'~~~
'2896'~'10 S. Riverside Plaza       2896'~'Chicago IL 60606 USA       2896'~~~'S.Giulano Milanese'~~'20098'~'25'~~~
'2897'~'10 S. Riverside Plaza       2897'~'Chicago IL 60606 USA       2897'~~~'San Giuliano Milanese'~'506'~'20098'~'25'~~~
'2898'~'10 S. Riverside Plaza       2898'~'Chicago IL 60606 USA       2898'~~~'Verona'~~'37139'~'25'~~~
'2899'~'10 S. Riverside Plaza       2899'~'Chicago IL 60606 USA       2899'~~~'Verona'~~'36100'~'25'~~~
'2900'~'10 S. Riverside Plaza       2900'~'Chicago IL 60606 USA       2900'~~~'Anzola Emilia'~'466'~'40011'~'25'~~~
'2901'~'10 S. Riverside Plaza       2901'~'Chicago IL 60606 USA       2901'~~~'Pioltello (Mi)'~~'20096'~'25'~~~
'2902'~'10 S. Riverside Plaza       2902'~'Chicago IL 60606 USA       2902'~~~'SAN CARLO'~~~'25'~~~
'2903'~'10 S. Riverside Plaza       2903'~'Chicago IL 60606 USA       2903'~~~'San Carlo (FE)'~~'44040'~'25'~~~
'2904'~'10 S. Riverside Plaza       2904'~'Chicago IL 60606 USA       2904'~~~'San polo di torrile'~~'43056'~'25'~~~
'2905'~'10 S. Riverside Plaza       2905'~'Chicago IL 60606 USA       2905'~~~'Flero (BS)'~~'25020'~'25'~~~
'2906'~'10 S. Riverside Plaza       2906'~'Chicago IL 60606 USA       2906'~~~'Gazoldo degli Ippolti (Mn)'~~'46040'~'25'~~~
'2907'~'10 S. Riverside Plaza       2907'~'Chicago IL 60606 USA       2907'~~~'Bergamo'~~'24128'~'25'~~~
'2908'~'10 S. Riverside Plaza       2908'~'Chicago IL 60606 USA       2908'~~~'SAN LAZZARO DI SAV'~~'40068'~'25'~~~
'2909'~'10 S. Riverside Plaza       2909'~'Chicago IL 60606 USA       2909'~~~'Roma'~~'155'~'25'~~~
'2910'~'10 S. Riverside Plaza       2910'~'Chicago IL 60606 USA       2910'~~~'Napoli'~~'80121'~'25'~~~
'2911'~'10 S. Riverside Plaza       2911'~'Chicago IL 60606 USA       2911'~~~'Napoli'~~'80100'~'25'~~~
'2912'~'10 S. Riverside Plaza       2912'~'Chicago IL 60606 USA       2912'~~~'Castelvetro'~'507'~'41014'~'25'~~~
'2913'~'10 S. Riverside Plaza       2913'~'Chicago IL 60606 USA       2913'~~~'Montecavolo di Quattro Castella RE'~~'42020'~'25'~~~
'2914'~'10 S. Riverside Plaza       2914'~'Chicago IL 60606 USA       2914'~~~'Goito'~~'46044'~'25'~~~
'2915'~'10 S. Riverside Plaza       2915'~'Chicago IL 60606 USA       2915'~~~'Scorze (VE)'~~'30037'~'25'~~~
'2916'~'10 S. Riverside Plaza       2916'~'Chicago IL 60606 USA       2916'~~~'Lugo'~~'27188'~'31'~~~
'2917'~'10 S. Riverside Plaza       2917'~'Chicago IL 60606 USA       2917'~~~'Belgrade'~~'11271'~'41'~~~
'2918'~'10 S. Riverside Plaza       2918'~'Chicago IL 60606 USA       2918'~~~'Enschede'~~~'29'~~~
'2919'~'10 S. Riverside Plaza       2919'~'Chicago IL 60606 USA       2919'~~~'BUNNIK'~~~'29'~~~
'2920'~'10 S. Riverside Plaza       2920'~'Chicago IL 60606 USA       2920'~~~'Vuda Point'~~~'119'~~~
'2921'~'10 S. Riverside Plaza       2921'~'Chicago IL 60606 USA       2921'~~~'Zagreb'~~'10000'~'35'~~~
'2922'~'10 S. Riverside Plaza       2922'~'Chicago IL 60606 USA       2922'~~~'Berlin'~~'13403'~'37'~~~
'2923'~'10 S. Riverside Plaza       2923'~'Chicago IL 60606 USA       2923'~~~'Frohnleiten'~~~'33'~~~
'2924'~'10 S. Riverside Plaza       2924'~'Chicago IL 60606 USA       2924'~~~'Wien'~~'1013'~'33'~~~
'2925'~'10 S. Riverside Plaza       2925'~'Chicago IL 60606 USA       2925'~~~'Newport, Gwent'~~~'19'~~~
'2926'~'10 S. Riverside Plaza       2926'~'Chicago IL 60606 USA       2926'~~~'Caerphilly, Mid Glamorgan'~~~'16'~~~
'2927'~'10 S. Riverside Plaza       2927'~'Chicago IL 60606 USA       2927'~~~'Elmshorn'~~'25336'~'37'~~~
'2928'~'10 S. Riverside Plaza       2928'~'Chicago IL 60606 USA       2928'~~~'Neuenkirchen'~~'48485'~'37'~~~
'2929'~'10 S. Riverside Plaza       2929'~'Chicago IL 60606 USA       2929'~~~'Worcestershire'~~~'19'~~~
'2930'~'10 S. Riverside Plaza       2930'~'Chicago IL 60606 USA       2930'~~~'Abingdon, Oxon'~~~'19'~~~
'2931'~'10 S. Riverside Plaza       2931'~'Chicago IL 60606 USA       2931'~~~'Betton'~~'35830'~'22'~~~
'2932'~'10 S. Riverside Plaza       2932'~'Chicago IL 60606 USA       2932'~~~'Hochfelden'~~'67270'~'22'~~~
'2933'~'10 S. Riverside Plaza       2933'~'Chicago IL 60606 USA       2933'~~~'Tullins'~~'38210'~'22'~~~
'2934'~'10 S. Riverside Plaza       2934'~'Chicago IL 60606 USA       2934'~~~'PTUJ'~~'2250'~'43'~~~
'2935'~'10 S. Riverside Plaza       2935'~'Chicago IL 60606 USA       2935'~~~'AIX EN PROVENCE'~~~'22'~~~
'2936'~'10 S. Riverside Plaza       2936'~'Chicago IL 60606 USA       2936'~~~'Vrbovec'~~~'35'~~~
'2937'~'10 S. Riverside Plaza       2937'~'Chicago IL 60606 USA       2937'~~~'Varazdin'~~'42000'~'35'~~~
'2938'~'10 S. Riverside Plaza       2938'~'Chicago IL 60606 USA       2938'~~~'Radenci'~~'9502'~'43'~~~
'2939'~'10 S. Riverside Plaza       2939'~'Chicago IL 60606 USA       2939'~~~'Praha 4'~~~'36'~~~
'2940'~'10 S. Riverside Plaza       2940'~'Chicago IL 60606 USA       2940'~~~'Dubna'~'2126'~~'11'~~~
'2941'~'10 S. Riverside Plaza       2941'~'Chicago IL 60606 USA       2941'~~~'Saint Agathon'~~~'22'~~~
'2942'~'10 S. Riverside Plaza       2942'~'Chicago IL 60606 USA       2942'~~~'unknown'~~~'121'~~~
'2943'~'10 S. Riverside Plaza       2943'~'Chicago IL 60606 USA       2943'~~~'SAINTE SIGOLENE'~~'43600'~'22'~~~
'2944'~'10 S. Riverside Plaza       2944'~'Chicago IL 60606 USA       2944'~~~'CHATELLERAULT'~~'86100'~'22'~~~
'2945'~'10 S. Riverside Plaza       2945'~'Chicago IL 60606 USA       2945'~~~'La ROCHE SUR FORON'~~~'22'~~~
'2946'~'10 S. Riverside Plaza       2946'~'Chicago IL 60606 USA       2946'~~~'Les Cerqueux'~~'49360'~'22'~~~
'2947'~'10 S. Riverside Plaza       2947'~'Chicago IL 60606 USA       2947'~~~'Caltagirone'~~'95041'~'25'~~~
'2948'~'10 S. Riverside Plaza       2948'~'Chicago IL 60606 USA       2948'~~~'Bomporto'~~'41030'~'25'~~~
'2949'~'10 S. Riverside Plaza       2949'~'Chicago IL 60606 USA       2949'~~~'Silandro'~~'39028'~'25'~~~
'2950'~'10 S. Riverside Plaza       2950'~'Chicago IL 60606 USA       2950'~~~'Osnabrück'~~'49076'~'37'~~~
'2951'~'10 S. Riverside Plaza       2951'~'Chicago IL 60606 USA       2951'~~~'Grand Junction'~'23'~'49056'~'76'~~~
'2952'~'10 S. Riverside Plaza       2952'~'Chicago IL 60606 USA       2952'~~~'Omaha'~'30'~'68102'~'76'~~~
'2953'~'10 S. Riverside Plaza       2953'~'Chicago IL 60606 USA       2953'~~~'YONKERS'~'35'~'10702'~'76'~~~
'2954'~'10 S. Riverside Plaza       2954'~'Chicago IL 60606 USA       2954'~''~''~'Toronto'~'1108'~''~'72'~~'BC8B2780-19AA-4166-82B4-B3FD6C1314E9'~'4AEB6BD7-3B7D-4C04-BAC4-EB48F6190646'
'2955'~'10 S. Riverside Plaza       2955'~'Chicago IL 60606 USA       2955'~~~'Austin'~'24'~~'76'~~~
'2956'~'10 S. Riverside Plaza       2956'~'Chicago IL 60606 USA       2956'~~~'Minchinbury'~'832'~'2770'~'118'~~~
'2957'~'10 S. Riverside Plaza       2957'~'Chicago IL 60606 USA       2957'~~~'Glenorchy'~'835'~'7010'~'118'~~~
'2958'~'10 S. Riverside Plaza       2958'~'Chicago IL 60606 USA       2958'~~~'Melbourne'~'836'~'3000'~'118'~~~
'2959'~'10 S. Riverside Plaza       2959'~'Chicago IL 60606 USA       2959'~~~'PLYMOUTH'~'49'~'53073'~'76'~~~
'2960'~'10 S. Riverside Plaza       2960'~'Chicago IL 60606 USA       2960'~~~'Pittsburgh'~'39'~~'76'~~~
'2961'~'10 S. Riverside Plaza       2961'~'Chicago IL 60606 USA       2961'~~~'West Junction'~'835'~'7212'~'118'~~~
'2962'~'10 S. Riverside Plaza       2962'~'Chicago IL 60606 USA       2962'~~~'Mesnil Racoin'~~'91580'~'22'~~~
'2963'~'10 S. Riverside Plaza       2963'~'Chicago IL 60606 USA       2963'~~~'Berkeley Vale'~'832'~'2261'~'118'~~~
'2964'~'10 S. Riverside Plaza       2964'~'Chicago IL 60606 USA       2964'~~~'Christchurch'~'1864'~'8053'~'122'~~~
'2965'~'10 S. Riverside Plaza       2965'~'Chicago IL 60606 USA       2965'~~~'Sockburn'~~'8042'~'122'~~~
'2966'~'10 S. Riverside Plaza       2966'~'Chicago IL 60606 USA       2966'~~~'Hershey'~'39'~'17033'~'76'~~~
'2967'~'10 S. Riverside Plaza       2967'~'Chicago IL 60606 USA       2967'~~~'Aurora'~'1108'~~'72'~~~
'2968'~'10 S. Riverside Plaza       2968'~'Chicago IL 60606 USA       2968'~~~'LONGEUEIL'~~~'72'~~~
'2969'~'10 S. Riverside Plaza       2969'~'Chicago IL 60606 USA       2969'~~~'Hartsville'~'41'~'29550'~'76'~~~
'2970'~'10 S. Riverside Plaza       2970'~'Chicago IL 60606 USA       2970'~~~'Evansville'~'16'~'47710'~'76'~~~
'2971'~'10 S. Riverside Plaza       2971'~'Chicago IL 60606 USA       2971'~~~'Arkansas City'~'17'~'67005'~'76'~~~
'2972'~'10 S. Riverside Plaza       2972'~'Chicago IL 60606 USA       2972'~~~'Vancouver'~'1103'~~'72'~~~
'2973'~'10 S. Riverside Plaza       2973'~'Chicago IL 60606 USA       2973'~~~'Carole Park'~'833'~'4300'~'118'~~~
'2974'~'10 S. Riverside Plaza       2974'~'Chicago IL 60606 USA       2974'~~~'Oxnard'~'5'~'93030'~'76'~~~
'2975'~'10 S. Riverside Plaza       2975'~'Chicago IL 60606 USA       2975'~~~'Fawkner'~'836'~'3060'~'118'~~~
'2976'~'10 S. Riverside Plaza       2976'~'Chicago IL 60606 USA       2976'~~~'Vancouver'~'1103'~~'72'~~~
'2977'~'10 S. Riverside Plaza       2977'~'Chicago IL 60606 USA       2977'~~~'Egaleo'~~'12241'~'24'~~~
'2978'~'10 S. Riverside Plaza       2978'~'Chicago IL 60606 USA       2978'~~~'Cincinnati'~'36'~'45241'~'76'~~~
'2979'~'10 S. Riverside Plaza       2979'~'Chicago IL 60606 USA       2979'~~~'Omaha'~'30'~'68102'~'76'~~~
'2980'~'10 S. Riverside Plaza       2980'~'Chicago IL 60606 USA       2980'~~~'Mount Wellington'~'1862'~'1060'~'122'~~~
'2981'~'10 S. Riverside Plaza       2981'~'Chicago IL 60606 USA       2981'~~~'M-VLT 15 Floriana'~~~'27'~~~
'2982'~'10 S. Riverside Plaza       2982'~'Chicago IL 60606 USA       2982'~~~'Anderson'~'16'~'46012'~'76'~~~
'2983'~'10 S. Riverside Plaza       2983'~'Chicago IL 60606 USA       2983'~~~'Hatfield'~'39'~'19440'~'76'~~~
'2984'~'10 S. Riverside Plaza       2984'~'Chicago IL 60606 USA       2984'~~~'Smithfield'~'46'~'23430'~'76'~~~
'2985'~'10 S. Riverside Plaza       2985'~'Chicago IL 60606 USA       2985'~~~'San Leandro'~'5'~~'76'~~~
'2986'~'10 S. Riverside Plaza       2986'~'Chicago IL 60606 USA       2986'~~~'DELTA'~'1103'~~'72'~~~
'2987'~'10 S. Riverside Plaza       2987'~'Chicago IL 60606 USA       2987'~~~'Seattle'~'48'~'98118'~'76'~~~
'2988'~'10 S. Riverside Plaza       2988'~'Chicago IL 60606 USA       2988'~~~'Chicago'~'15'~'60612'~'76'~~~
'2989'~'10 S. Riverside Plaza       2989'~'Chicago IL 60606 USA       2989'~~~'Los Angeles'~'5'~~'76'~~~
'2990'~'10 S. Riverside Plaza       2990'~'Chicago IL 60606 USA       2990'~~~'Marshall'~'24'~'56258'~'76'~~~
'2991'~'10 S. Riverside Plaza       2991'~'Chicago IL 60606 USA       2991'~~~'Reading'~'39'~'19605'~'76'~~~
'2992'~'10 S. Riverside Plaza       2992'~'Chicago IL 60606 USA       2992'~~~'Saskatoon'~'1111'~~'72'~~~
'2993'~'10 S. Riverside Plaza       2993'~'Chicago IL 60606 USA       2993'~~~'Saskatoon'~'1111'~~'72'~~~
'2994'~'10 S. Riverside Plaza       2994'~'Chicago IL 60606 USA       2994'~~~'TYLER'~'44'~'75704'~'76'~~~
'2995'~'10 S. Riverside Plaza       2995'~'Chicago IL 60606 USA       2995'~~~'Kiev'~~'31003'~'12'~~~
'2996'~'10 S. Riverside Plaza       2996'~'Chicago IL 60606 USA       2996'~~~'Elk Grove Village'~'15'~'60007'~'76'~~~
'2997'~'10 S. Riverside Plaza       2997'~'Chicago IL 60606 USA       2997'~~~'Salinas'~'5'~'93901'~'76'~~~
'2998'~'10 S. Riverside Plaza       2998'~'Chicago IL 60606 USA       2998'~~~'Levallois-Perret'~~'92309'~'22'~~~
'2999'~'10 S. Riverside Plaza       2999'~'Chicago IL 60606 USA       2999'~~~'PHOENIX'~'4'~'85034'~'76'~~~
'3000'~'10 S. Riverside Plaza       3000'~'Chicago IL 60606 USA       3000'~~~'Montreal'~'1110'~~'72'~~~
